,geometry,name,details,borough
2866,POINT (-73.76938062786455 40.67387065932241),South Rochdale Playground,Under Tree,Q
2867,POINT (-73.89847366318371 40.8149489304533),Fox Playground,In Playground,X
2868,POINT (-73.96200436123137 40.813517538525254),Sakura Park,Out in Open,M
2869,POINT (-74.00455942891864 40.739220607455444),Corporal John A. Seravalli Playground,"Just Outside Playground, Near Ballfield",M
2870,POINT (-73.97610712029297 40.7144188520707),John V. Lindsay East River Park,Near Ballfield,M
2871,POINT (-73.95649953437275 40.76044292286304),Andrew Haswell Green Park,In Shade,M
2872,POINT (-73.96710336116129 40.695345440422365),Washington Hall Park,"Under Tree, Out in Open, In Playground",B
2873,POINT (-73.97909388213644 40.573132842754774),Coney Island Beach & Boardwalk,Out in Open,B
2874,POINT (-73.84515064491391 40.7441589666866),Flushing Meadows Corona Park,Out in Open,Q
2875,POINT (-73.83689276176733 40.57747165443092),Rockaway Beach,Out in Open,Q
2876,POINT (-74.03931254035842 40.63163667358942),Shore Park and Parkway,In Playground,B
2877,POINT (-73.9677348351984 40.796993330405165),Frederick Douglass Playground,"In Shade, In Playground, Near Ballfield",M
2878,POINT (-73.9635687301592 40.781282498114955),Central Park,Out in Open,M
2879,POINT (-73.91183603915543 40.696097290678146),Bushwick Playground,"Under Tree, In Shade, Out in Open, Near Ballfield, Just Outside Playground",B
2880,POINT (-73.91426051243597 40.88737099253367),Riverdale Playground,"In Shade, Under Tree",X
2881,POINT (-73.82269157814639 40.74944259997484),Kissena Corridor Park,Near Ballfield,Q
2882,POINT (-73.98433617888878 40.62356188531137),Gravesend Park,Near Ballfield,B
2883,POINT (-73.92824425371995 40.827590510983875),Macombs Dam Park,"Out in Open, Near Ballfield, Just Outside Playground",X
2884,POINT (-73.87475405900994 40.679583480947464),City Line Park,"Out in Open, Near Ballfield",B
2885,POINT (-73.97015875093318 40.57486376924773),Asser Levy Park,Out in Open,B
2886,POINT (-74.20910230830825 40.53336443409185),Bloomingdale Park,Near Ballfield,R
2887,POINT (-73.73761333788876 40.77087862561513),Admiral Park,In Playground,Q
2888,POINT (-73.75645496593246 40.738508230280644),Telephone Playground,In Playground,Q
2889,POINT (-73.74136505466844 40.74230471846494),Alley Pond Park,Out in Open,Q
2890,POINT (-73.9349344784647 40.80729513435421),Harlem River Park,"Under Tree, Near Ballfield",M
2891,POINT (-74.12387267244561 40.56106379769748),Clawson Playground,Near Ballfield,R
2892,POINT (-73.83700540172092 40.71576286006015),Ehrenreich-Austin Playground,In Playground,Q
2893,POINT (-73.97374889687993 40.80113100530473),Riverside Park,Near Ballfield,M
2894,POINT (-73.91666129037834 40.853845296730135),Beanstalk Playground,"In Playground, Under Tree",X
2895,POINT (-73.98338790770765 40.5733779499217),Steeplechase Park,"Out in Open, Just Outside Playground",B
2896,POINT (-73.94639522948529 40.62304152793287),Andries Playground,"Out in Open, In Playground",B
2897,POINT (-73.86870571139609 40.86613479415021),Zimmerman Playground,Under Tree,X
2898,POINT (-73.89451248404792 40.85210905737235),Bathgate Playground,In Playground,X
2899,POINT (-73.90760329480234 40.85495264163522),Davidson Playground,"Under Tree, In Playground",X
2900,POINT (-73.958779290552 40.803001839579174),Morningside Park,"Near Ballfield, Just Outside Playground",M
2901,POINT (-73.96982876860937 40.783354618155805),Central Park,"Under Tree, In Shade, Out in Open",M
